data,hora_local,views,interacoes,atividade_perfil,posicao_dia,taxa_atividade_pct,origem,observacao
2026-08-24,11:18,191,4,3,1,1.57,print,
2026-08-24,11:19,158,2,2,2,1.27,print,
2026-08-25,15:13,378,5,15,1,3.97,print,maior alcance do lote
2026-08-25,20:07,144,3,2,2,1.39,print,
2026-08-30,17:58,267,5,7,1,2.62,print,
2026-08-30,17:59,221,4,2,2,0.90,print,
2026-08-30,19:52,194,3,3,3,1.55,print,
2026-08-30,19:55,182,3,2,4,1.10,print,
2026-08-30,22:27,171,6,3,5,1.75,print,dia com 5 stories e queda continua
2026-08-31,08:52,156,4,5,1,3.21,print,
2026-08-31,20:23,133,3,2,2,1.50,print,
2026-09-01,12:12,174,5,9,1,5.17,print,melhor taxa de atividade do conjunto
2026-09-02,21:19,151,7,2,1,1.32,print,unico 1o do dia as 21h
2026-09-02,21:24,146,5,6,2,4.11,print,
2026-09-05,08:54,209,4,8,1,3.83,print,
2026-09-05,16:38,260,4,5,2,1.92,print,print de mensagem de cliente; unico 2o do dia que superou o 1o
2026-09-18,21:53,130,,0,1,0.00,api,atividade = profile_visits da API (nao e o mesmo que atividade do perfil do app)
2026-09-18,22:18,114,,3,2,2.63,api,idem
2026-09-18,,225,,,1,,print,horario nao registrado
2026-09-18,,124,,,2,,print,horario nao registrado
2026-09-18,,109,,,3,,print,horario nao registrado
,,891,,24,,2.69,print,bastidor/cliente; data e horario nao registrados
,,721,,24,,3.33,print,bastidor/cliente; data e horario nao registrados
