data,seguidores,publicacoes,reach,profile_views,website_clicks,accounts_engaged,total_interactions,capturado_em
2026-09-12,,,1440,,,,,2026-09-20T21:12:29+00:00
2026-09-13,,,1036,,,,,2026-09-21T16:20:33+00:00
2026-09-14,,,1107,,,,,2026-09-22T14:31:57+00:00
2026-09-15,,,943,,,,,2026-09-23T14:48:47+00:00
2026-09-16,,,878,,,,,2026-09-23T14:48:47+00:00
2026-09-17,,,963,,,,,2026-09-23T14:48:47+00:00
2026-09-18,34326,4265,1438,,,,,2026-09-23T14:48:47+00:00
2026-09-19,34336,4265,1648,,,,,2026-09-23T14:48:47+00:00
2026-09-20,34342,4265,971,,,,,2026-09-23T14:48:47+00:00
2026-09-21,34347,4265,945,,,,,2026-09-23T14:48:47+00:00
