media_id,data_local,hora_local,posicao_dia,idade_horas,capturado_em,views,reach,profile_visits,navigation
18121656841920786,2026-09-18,21:53,1,19,2026-09-19T19:52:45+00:00,130,106,0,120
18121656841920786,2026-09-18,21:53,1,21,2026-09-19T22:12:45+00:00,146,119,0,134
18121656841920786,2026-09-18,21:53,1,24,2026-09-20T00:46:48+00:00,161,134,0,151
18143297428573474,2026-09-18,22:18,2,19,2026-09-19T19:52:43+00:00,114,90,3,106
18143297428573474,2026-09-18,22:18,2,21,2026-09-19T22:12:44+00:00,133,102,3,123
18143297428573474,2026-09-18,22:18,2,23,2026-09-20T00:46:47+00:00,148,117,3,139
17971817322069714,2026-09-19,17:33,1,2,2026-09-19T22:12:43+00:00,48,29,0,34
17971817322069714,2026-09-19,17:33,1,4,2026-09-20T00:46:46+00:00,76,64,0,71
17971817322069714,2026-09-19,17:33,1,9,2026-09-20T05:50:19+00:00,127,105,1,120
17971817322069714,2026-09-19,17:33,1,14,2026-09-20T10:52:14+00:00,138,115,1,132
17971817322069714,2026-09-19,17:33,1,18,2026-09-20T14:35:05+00:00,170,143,1,161
17971817322069714,2026-09-19,17:33,1,22,2026-09-20T18:04:17+00:00,194,164,1,182
18123811351859916,2026-09-19,18:09,2,1,2026-09-19T22:12:42+00:00,34,21,0,24
18123811351859916,2026-09-19,18:09,2,4,2026-09-20T00:46:44+00:00,66,54,0,61
18123811351859916,2026-09-19,18:09,2,9,2026-09-20T05:50:18+00:00,112,90,0,105
18123811351859916,2026-09-19,18:09,2,14,2026-09-20T10:52:13+00:00,121,100,0,115
18123811351859916,2026-09-19,18:09,2,17,2026-09-20T14:35:03+00:00,147,124,0,141
18123811351859916,2026-09-19,18:09,2,21,2026-09-20T18:04:15+00:00,171,144,0,162
18111631310156210,2026-09-20,04:48,1,3,2026-09-20T10:52:12+00:00,14,10,0,10
18111631310156210,2026-09-20,04:48,1,7,2026-09-20T14:35:02+00:00,70,59,0,61
18111631310156210,2026-09-20,04:48,1,10,2026-09-20T18:04:14+00:00,111,94,0,101
18111631310156210,2026-09-20,04:48,1,13,2026-09-20T21:14:43+00:00,144,117,0,131
